developer,provider_count,mktShare,est_mips_2018,edition2015_base_status,provider_type_,provider_type_eligible clinician,provider_type_eligible hospital,market_impact_index
245,0.08125577100646351,0.029510395707578796,111,16,False,True,False,22.249481004215507
246,0.0,0.0,1,16,False,True,False,0.2
248,0.0,0.0,18,16,False,True,False,3.6
249,0.10710987996306555,0.038900067069081154,126,16,False,True,False,25.26522496010226
250,1.0,0.5647216633132145,210,15,False,True,False,42.66941649899397
251,0.07386888273314865,0.02682763246143527,260,16,False,True,False,52.044982731105
226,0.029547553093259467,0.010731052984574123,196,16,False,True,False,39.21799309244201
253,0.06278855032317636,0.022803487592220006,37,16,False,True,False,7.4382353214392545
254,0.15512465373961218,0.05633802816901423,347,16,False,True,False,69.49446373532052
256,0.003693444136657433,0.0013413816230717671,163,16,False,True,False,32.60224913655525
257,0.6832871652816251,0.24815560026827646,286,16,False,True,False,57.6160902627213
669,0.15512465373961218,0.05633802816901423,220,16,False,True,False,44.09446373532051
266,1.0,1.0,86,3,False,True,False,18.0
267,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
258,0.14035087719298245,0.0509725016767269,200,0,False,True,False,40.08546718909951
259,0.22899353647276086,0.08316566063044949,133,16,False,True,False,26.739446466425516
670,0.007386888273314867,0.0026827632461435295,260,16,False,True,False,52.0044982731105
260,1.0,0.9899396378269629,256,0,False,True,False,51.99698189134809
677,0.48014773776546626,0.17437961099932942,228,15,False,True,False,45.892387752182536
268,0.007386888273314867,0.0026827632461435295,91,16,False,True,False,18.2044982731105
269,0.8125577100646353,0.2951039570757883,268,16,False,True,False,54.09481004215505
671,0.24007386888273316,0.08718980549966451,16,16,False,True,False,3.346193876091266
672,0.4506001846722068,0.16364855801475522,300,11,False,True,False,60.27439465974053
673,1.0,0.43192488262910816,250,14,False,True,False,50.62957746478873
272,1.0,0.5258215962441294,6,1,False,True,False,1.857746478873239
274,0.0221606648199446,0.008048289738430598,289,16,False,True,False,57.8134948193315
275,0.33610341643582636,0.12206572769953075,329,16,False,True,False,66.00467142652776
276,0.1809787626962142,0.06572769953051659,333,16,False,True,False,66.71020769120727
278,0.0,0.0,18,12,False,True,False,3.6
277,0.0,0.0,1,16,False,True,False,0.2
280,0.5207756232686981,0.18913480885311865,242,1,False,True,False,48.71712825429029
279,0.528162511542013,0.19181757209926228,27,16,False,True,False,5.721626527400786
281,0.06648199445983378,0.024144869215291746,121,16,False,True,False,24.24048445799451
282,0.15512465373961218,0.05633802816901423,112,16,False,True,False,22.49446373532051
283,0.11819021237303785,0.042924211938296465,260,16,False,True,False,52.071972369768005
270,0.10341643582640811,0.03755868544600942,338,16,False,True,False,67.66297582354701
285,1.0,0.3876592890677396,320,9,False,True,False,64.61629778672032
286,0.0,0.0,1,16,False,True,False,0.2
287,0.003693444136657433,0.0013413816230717671,18,16,False,True,False,3.6022491365552503
288,0.9566020313942751,0.34741784037558693,148,15,False,True,False,30.182526367809814
289,0.26223453370267774,0.09523809523809504,301,14,False,True,False,60.35968869542277
290,0.03693444136657433,0.013413816230717648,295,16,False,True,False,59.022491365552504
291,0.11080332409972297,0.04024144869215294,120,16,False,True,False,24.067474096657506
292,1.0,1.0,11,14,False,True,False,3.0
261,0.9676823638042474,0.35144198524480247,183,16,False,True,False,37.18927377747556
293,0.1772853185595568,0.06438631790744476,267,16,False,True,False,53.50795855465202
294,1.0,0.5902079141515765,271,3,False,True,False,54.877062374245476
295,0.06648199445983378,0.024144869215291746,84,5,False,True,False,16.840484457994506
298,1.0,0.8893360160965801,51,16,False,True,False,10.966800804828974
299,1.0,0.3957075788061706,31,0,False,True,False,6.818712273641851
296,0.9824561403508771,0.3568075117370893,96,3,False,True,False,19.798270323696567
300,1.0,1.0,328,14,False,True,False,66.4
301,0.0,0.0,1,1,False,True,False,0.2
302,0.02585410895660203,0.009389671361502337,233,16,False,True,False,46.61574395588676
271,0.014773776546629733,0.005365526492287073,113,16,False,True,False,22.608996546221004
262,1.0,0.5244802146210595,276,7,False,True,False,55.85734406438632
263,0.4136657433056325,0.15023474178403737,48,16,False,True,False,9.851903294188029
264,0.6241920590951062,0.22669349429912808,135,16,False,True,False,27.38010407783729
674,0.5503231763619575,0.1998658618376928,159,16,False,True,False,32.13512134673229
675,0.1329639889196676,0.0482897384305837,184,15,False,True,False,36.880968915989015
265,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
303,0.0110803324099723,0.004024144869215287,163,16,False,True,False,32.60674740966575
676,0.5207756232686981,0.18913480885311865,211,16,False,True,False,42.517128254290284
304,0.055401662049861494,0.020120724346076483,18,16,False,True,False,3.633737048328754
305,0.007386888273314867,0.0026827632461435295,91,16,False,True,False,18.2044982731105
306,0.0,0.0,1,16,False,True,False,0.2
307,1.0,0.5258215962441294,59,14,False,True,False,12.45774647887324
